,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
21982,54 - C0034 - 36-MS_Gopalakrishnan,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,MS Gopalakrishnan,https://www.sangeethamshare.org/nageswaran/Audio/UPLOADS_0001-0100/36-MS_Gopalakrishnan//
20866,10 - C0381 - 378-Nityasree_Mahade,6,kanindaruL_purindAl,kalyANi,pApanAsam_sivan,Nithyasri Mahadevan,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/378-Nityasree_Mahadevan-Vocal//
20090,01 - C4132 - 4078-Mathangi_Sathya,2,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Mathangi Sathyamoorthy,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4078-Mathangi_Sathyamoorthy-ASS_2015//
22070,01 - C1289 - 0826.ARUNA_SAIYEERAM,5,vAsudEvayani_veDalina,kalyANi,tyAgarAja,Aruna Sairam,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0826.ARUNA_SAIYEERAM//
20356,10 - C0549 - 560-Kadri_Gopalnath-,7,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Kadri Gopalnath,https://www.sangeethamshare.org/vijayagopal/UPLOADS-401-600/560-Kadri_Gopalnath-Saxophone//
21246,15 - C0298 - 295-Semmangudi-Live_,4,pAhimAM_srivagIsvari,kalyANi,swAtitirunAL,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/muralidaran/Uploads-201-300/295-Semmangudi-Live_Concert-14//
21461,06 - c0130 - 0156-Sri-T.R.Mahalin,3,rAgam_tAnam_pallavi,kalyANi,Own/Others,TR Mahalingam,https://www.sangeethamshare.org/svasu/UPLOADS-0001-0200/0156-Sri-T.R.Mahalingam-Flute/
20776,01 - C3532 - 3495-Varalakshmi_Ana,4,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Varalakshmi Anandakumar,https://www.sangeethamshare.org/tvg/UPLOADS-3401---3600/3495-Varalakshmi_Anandkumar//
21417,02 - c0390 - 404_NRajkamal_CNC_TB,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,N Rajkamal,https://www.sangeethamshare.org/kasturi/UPLOADS-0401-0600/404_NRajkamal_CNC_TBR_R_VaniSchool_Rngr_BLR_06May2011/
21835,01 - C2744 - 2767-S_Rajeswari,4,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,S Rajeswari,https://www.sangeethamshare.org/tvg/UPLOADS-2601---2800/2767-S_Rajeswari//
